"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","HHIPDLIB","HHIP_LIB","HHISTATB","HHIS_ATB","HHICOVQ","HHICOVQ_","HHIGROUP","HHIG_OUP","HHIPRMPD","HHIP_MPD","HHIPRDED","HHIP_DED","HHIRPMPD","HHIR_MPD","QHI3MCX","QHI3MCX_","HHIBCBS","HHIBCBS_","HHICODE","HHICODE_","HHIPOS","HHIPOS_","HHIFEET","HHIFEET_","HHISPECT","HHIS_ECT"
"20121",2377165,25,0,"5","01","D",,"A",5,"D","2","D","2","D","1","D","3","D",520,"D","2","D","1","D","2","D",,"A",,"A"
"20121",2377175,34,0,"5","01","D",,"A",4,"D","2","D","2","D","1","D","1","D",0,"D","1","D","2","D",,"A","2","D",,"A"
"20121",2377225,22,0,"5","01","D",,"A",1,"D","2","D",,"C","1","D","3","D",240,"F","2","D","3","D",,"A",,"A",,"A"
"20121",2377235,20,0,"5","01","D",,"A",2,"D","2","D","3","D",,"A",,"A",.,"A","1","D","2","D",,"A","1","D",,"A"
"20121",2377275,30,0,"5","01","D",,"A",1,"D","1","D","1","D","2","D","3","D",735,"D","2","D","3","D",,"A",,"A",,"A"
"20121",2377275,31,0,"5","02","D",,"A",1,"D","2","D","3","D",,"A",,"A",.,"A","2","D","2","D",,"A","2","D",,"A"
"20121",2377275,32,0,"1","03","D",,"A",1,"D","1","D","1","D","2","D","6","D",200,"D","2","D","4","D",,"A",,"A","3","D"
"20121",2377335,37,0,"5","01","D",,"A",1,"D","2","D","2","D","1","D","2","D",200,"D","2","D","2","D",,"A","2","D",,"A"
"20121",2377345,23,0,"5","01","D",,"A",3,"D","2","D","2","D","1","D","3","D",48,"F","1","D","2","D",,"A","2","D",,"A"
"20121",2377345,24,0,"5","02","D",,"A",2,"D","2","D","2","D","1","D","2","D",20,"D","2","D","4","D",,"A",,"A","1","D"
"20121",2377345,25,0,"5","03","D",,"A",2,"D","2","D","1","D","1","D","2","D",2,"D","2","D","4","D",,"A",,"A","2","D"
"20121",2377345,26,0,"1","04","D",,"A",3,"D","2","D","2","D","1","D","3","D",240,"D","1","D","1","D","1","D",,"A",,"A"
"20121",2377355,18,0,"5","01","D",,"A",2,"D","2","D","1","D","1","D","2","D",1000,"D","2","D","2","D",,"A","2","D",,"A"
"20121",2377365,24,0,"5","01","D",,"A",1,"D","2","D","2","D","1","D","3","D",279,"D","2","D","1","D","1","D",,"A",,"A"
"20121",2377365,25,0,"5","02","D",,"A",1,"D","2","D","2","D","1","D","2","D",12,"D","2","D","4","D",,"A",,"A","1","D"
"20121",2377385,21,0,"5","01","D",,"A",2,"D","1","D","1","D","2","D","3","D",1200,"D","1","D","2","D",,"A","2","D",,"A"
"20121",2377455,30,0,"5","01","D",,"A",1,"D","2","D","2","D","1","D","2","D",124,"D","2","D","2","D",,"A","2","D",,"A"
"20121",2377455,31,0,"5","02","D",,"A",1,"D","2","D","3","D",,"A",,"A",.,"A","2","D","1","D","1","D",,"A",,"A"
"20121",2377455,32,0,"1","03","D",,"A",1,"D","1","D","1","D","2","D","3","D",290,"D","2","D","2","D",,"A","2","D",,"A"
"20121",2377475,22,0,"5","01","D",,"A",1,"D","2","D","2","D","1","D","2","D",120,"F","1","D","2","D",,"A","2","D",,"A"
"20121",2377485,25,0,"5","01","D",,"A",3,"D","2","D","2","D","1","D","3","D",0,"D","2","D","1","D","1","D",,"A",,"A"
