"QYEAR","NEWID","SEQNO","ALCNO","PRTDMBNO","PRTD_BNO","ENROLLMO","ENRO_LMO","ENROLLYR","ENRO_LYR","HHDRGSS","HHDRGSS_","STILDRUG","STIL_RUG","DRGPREMX","DRGP_EMX","QDRGPM1X","QDRG_M1X","QDRGPM2X","QDRG_M2X","QDRGPM3X","QDRG_M3X","PREMCHG","PREMCHG_","PREMCHGX","PREM_HGX"
"20111",2227775,27,0,1,"D","01","D","2010","D","1","D","1","D",28,"F",28,"F",28,"F",28,"F","1","D",.,"A"
"20111",2227775,28,0,2,"D","11","D","2009","D","1","D","1","D",35,"F",35,"F",35,"F",35,"F","1","D",.,"A"
"20111",2227885,31,0,2,"D","04","D","2010","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20111",2228075,17,0,2,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20111",2228194,24,0,1,"D","04","D","2005","D","1","D","1","D",43,"F",43,"F",35,"F",35,"F","1","D",35,"F"
"20111",2228274,18,0,2,"D","11","D","2009","D","1","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20111",2228455,28,0,1,"D","02","D","2010","D","1","F","1","D",10,"F",10,"F",10,"F",10,"F",,"C",0,"F"
"20111",2228455,29,0,2,"D","08","D","2010","D","1","F","1","D",50,"F",50,"F",50,"F",50,"F",,"C",.,"A"
"20111",2228535,23,0,1,"D","04","D","2010","D","1","D","1","D",35,"F",35,"F",35,"F",35,"F","1","D",.,"A"
"20111",2229004,18,0,1,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20111",2229275,37,0,1,"D","01","D","2009","D","1","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20111",2229624,18,0,1,"D","01","D","2010","D","1","D","1","D",57,"F",57,"F",57,"F",57,"F","1","D",.,"A"
"20111",2229644,21,0,2,"D","03","D","2005","D","1","D",,"A",54,"D",54,"D",54,"D",54,"D",,"A",.,"A"
"20111",2229844,23,0,1,"D","06","D","2005","D","1","D",,"A",0,"D",0,"D",0,"D",0,"D",,"A",.,"A"
"20111",2229844,24,0,2,"D","06","D","2005","D","1","D",,"A",0,"D",0,"D",0,"D",0,"D",,"A",.,"A"
"20111",2230414,20,0,1,"D","09","D","2010","D","1","D","1","D",208,"F",208,"F",208,"F",208,"F",,"C",.,"A"
"20111",2230675,34,0,1,"D","10","D","2006","D","1","D","1","D",25,"F",25,"F",25,"F",25,"F","1","D",.,"A"
"20111",2230675,35,0,2,"D","10","D","2006","D","1","D","1","D",15,"F",15,"F",15,"F",15,"F","1","D",.,"A"
"20111",2230984,23,0,1,"D","10","D","2006","D","1","D","1","D",14,"D",14,"D",14,"D",14,"D",,"C",.,"A"
"20111",2230994,27,0,1,"D","12","D","2005","D","1","D","1","D",30,"D",30,"D",30,"D",30,"D","1","D",.,"A"
"20111",2231045,32,0,1,"D","07","D","2008","D","2","D","1","D",44,"F",44,"F",44,"F",44,"F","1","D",.,"A"
"20111",2231065,22,0,1,"D",,"C",,"C","1","D",,"A",.,"C",.,"A",.,"A",.,"A",,"A",.,"A"
"20111",2231145,30,0,1,"D","07","D","2010","D","1","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20111",2231145,31,0,2,"D","07","D","2010","D","1","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20111",2232625,24,0,1,"D","01","D","2005","D","1","D","1","D",60,"F",60,"F",15,"F",15,"F","1","D",15,"F"
"20111",2232625,25,0,2,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20111",2233024,23,0,1,"D","01","D","2011","D","1","D",,"A",50,"D",.,"A",.,"A",.,"A",,"A",.,"A"
"20111",2233194,24,0,1,"D","12","D","2009","D","1","D","1","D",96,"D",96,"D",96,"D",96,"D","1","D",.,"A"
"20111",2233575,21,0,1,"D","11","D","2008","D","1","D","1","D",65,"D",65,"D",65,"D",65,"D","1","D",.,"A"
"20111",2233575,22,0,2,"D","11","D","2008","D","1","D","1","D",65,"D",65,"D",65,"D",65,"D","1","D",.,"A"
"20111",2234114,19,0,1,"D","01","D","2010","D","1","D","1","D",43,"D",43,"D",43,"D",43,"D","1","D",.,"A"
"20111",2234274,46,0,1,"D","01","D","2011","D","2","D",,"A",56,"D",.,"A",.,"A",.,"A",,"A",.,"A"
"20111",2234274,731,0,2,"D","01","D","2010","D","2","D","1","D",51,"D",51,"D",51,"D",51,"D","1","D",.,"A"
"20111",2234525,22,0,2,"D","11","D","2008","D","1","D","1","D",44,"F",44,"F",44,"F",44,"F","1","D",.,"A"
"20111",2234654,22,0,1,"D","05","D","2007","D","1","D","1","D",41,"D",41,"D",41,"D",41,"D","1","D",.,"A"
"20111",2234874,18,0,1,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20111",2235555,17,0,1,"D","07","D","2007","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20111",2235644,34,0,1,"D","11","D","2006","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20111",2235644,35,0,2,"D","05","D","2006","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20111",2235855,19,0,1,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20111",2236104,24,0,1,"D","03","D","2009","D","1","D",,"A",26,"F",26,"F",26,"F",26,"F",,"A",.,"A"
"20111",2236344,21,0,1,"D","07","D","2009","D","1","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20111",2237045,25,0,1,"D","01","D","2010","D","2","D","1","D",35,"D",35,"D",35,"D",35,"D","1","D",.,"A"
"20111",2237235,32,0,1,"D","02","D","2005","D","2","D","1","D",44,"D",44,"D",44,"D",44,"D","1","D",.,"A"
"20111",2237364,29,0,1,"D","07","D","2010","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20111",2237415,25,0,1,"D","03","D","2009","D","2","D","1","D",103,"D",103,"D",103,"D",103,"D","1","D",.,"A"
"20111",2237775,31,0,3,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20111",2237814,23,0,1,"D","07","D","2010","D","1","D","1","D",96,"F",96,"F",96,"F",96,"F","1","D",.,"A"
"20111",2238795,21,0,1,"D","09","D","2010","D","1","D",,"A",84,"F",84,"F",84,"F",148,"F",,"A",148,"F"
"20111",2238815,32,0,1,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20111",2238815,33,0,2,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20111",2238865,23,0,1,"D","01","D","2009","D","1","D","1","D",75,"F",75,"F",75,"F",75,"F","1","D",.,"A"
"20111",2238865,24,0,2,"D","01","D","2010","D","1","D","1","D",62,"F",62,"F",62,"F",62,"F",,"A",.,"A"
"20111",2238925,19,0,1,"D","10","D","2010","D","2","D",,"A",0,"D",0,"D",0,"D",.,"A",,"A",.,"A"
"20111",2239625,23,0,1,"D",,"C",,"C","1","D","1","D",.,"C",.,"A",.,"A",.,"A","1","D",.,"A"
"20111",2239945,21,0,1,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20111",2239984,28,0,1,"D","09","D","2010","D","2","F","1","D",60,"F",60,"F",60,"F",60,"F","1","D",.,"A"
"20111",2240045,42,0,1,"D","11","D","2010","D","2","D",,"A",41,"D",41,"D",.,"A",.,"A",,"A",.,"A"
"20111",2240115,24,0,1,"D",,"C","2008","D","2","D","1","D",0,"D",.,"A",.,"A",.,"A","1","D",.,"A"
"20111",2240115,25,0,2,"D",,"C","2008","D","2","D","1","D",0,"D",.,"A",.,"A",.,"A","1","D",.,"A"
"20111",2240284,17,0,1,"D","04","D","2010","D","1","D","1","D",68,"F",68,"F",68,"F",68,"F","1","D",.,"A"
"20111",2240295,35,0,2,"D","09","D","2010","D","1","D",,"A",100,"D",100,"D",100,"D",100,"D",,"A",.,"A"
"20111",2240705,23,0,1,"D","12","D","2010","D","2","D",,"A",0,"D",.,"A",.,"A",.,"A",,"A",.,"A"
"20111",2241085,17,0,1,"D","08","D","2005","D","1","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20111",2241085,18,0,2,"D","08","D","2007","D","2","D","1","D",31,"D",31,"D",31,"D",31,"D","1","D",.,"A"
"20111",2241105,18,0,1,"D","07","D","2009","D","1","D","1","D",35,"F",35,"F",35,"F",35,"F","1","D",.,"A"
"20111",2241395,71,0,5,"D","11","D","2005","D","1","D","1","D",6,"F",6,"F",6,"F",6,"F",,"A",.,"A"
"20111",2241685,27,0,1,"D","01","D","2011","D","2","D",,"A",0,"D",.,"A",.,"A",.,"A",,"A",.,"A"
"20111",2241814,27,0,2,"D","07","D","2010","D","1","D","1","D",95,"F",95,"F",40,"F",40,"F","1","D",40,"F"
"20111",2241925,22,0,3,"D","03","D","2008","D","1","D","1","D",96,"D",96,"D",96,"D",96,"D","1","D",.,"A"
"20111",2241995,24,0,1,"D","01","D","2009","D","1","D","1","D",42,"D",42,"D",42,"D",42,"D","1","D",.,"A"
"20111",2242355,23,0,1,"D","05","D","2005","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20111",2243125,35,0,1,"D","01","D","2006","D","2","D","1","D",74,"D",74,"D",74,"D",74,"D","1","D",.,"A"
"20111",2243125,36,0,2,"D","01","D","2006","D","2","D","1","D",74,"D",74,"D",74,"D",74,"D","1","D",.,"A"
"20111",2243205,30,0,1,"D","08","D","2009","D","2","F","1","D",57,"F",57,"F",57,"F",57,"F",,"A",.,"A"
