"QYEAR","NEWID","SEQNO","ALCNO","PRTDMBNO","PRTD_BNO","ENROLLMO","ENRO_LMO","ENROLLYR","ENRO_LYR","HHDRGSS","HHDRGSS_","STILDRUG","STIL_RUG","DRGPREMX","DRGP_EMX","QDRGPM1X","QDRG_M1X","QDRGPM2X","QDRG_M2X","QDRGPM3X","QDRG_M3X","PREMCHG","PREMCHG_","PREMCHGX","PREM_HGX"
"20101",1995655,23,0,1,"D","01","D","2006","D","1","D","1","D",43,"F",43,"F",43,"F",43,"F","1","D",.,"A"
"20101",1995655,24,0,2,"D","03","D","2006","D","1","D","1","D",37,"F",37,"F",45,"F",45,"F","1","D",45,"F"
"20101",1995705,30,0,2,"D","01","D","2007","D","1","D","1","D",41,"D",41,"D",30,"D",30,"D","2","D",30,"D"
"20101",1995765,17,0,1,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20101",1995765,18,0,2,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20101",1995885,38,0,1,"D","12","D","2009","D","2","D",,"A",48,"D",48,"D",.,"A",.,"A",,"A",.,"A"
"20101",1996115,23,0,1,"D","01","D","2008","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20101",1996145,21,0,1,"D","03","D","2007","D","2","F","1","D",18,"F",18,"F",18,"F",18,"F","1","D",.,"A"
"20101",1996195,26,0,1,"D","04","D","2009","D","1","D","1","D",34,"F",34,"F",34,"F",34,"F",,"C",.,"A"
"20101",1996245,18,0,1,"D","03","D","2009","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20101",1996345,18,0,1,"D","03","D","2008","D","2","D",,"A",0,"D",0,"D",0,"D",0,"D",,"A",.,"A"
"20101",1996385,19,0,1,"D","11","D","2005","D","2","D","1","D",96,"D",96,"D",96,"D",96,"D","1","D",.,"A"
"20101",1996385,20,0,2,"D","03","D","2005","D","2","D","1","D",96,"D",96,"D",96,"D",96,"D","1","D",.,"A"
"20101",1996575,30,0,1,"D","06","D","2006","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20101",1996625,32,0,1,"D","01","D","2005","D","1","D","1","D",135,"F",135,"F",135,"F",135,"F","1","D",.,"A"
"20101",1996705,19,0,1,"D","10","D","2007","D","1","D","1","D",10,"D",10,"D",10,"D",10,"D","1","D",.,"A"
"20101",1996715,42,0,1,"D","01","D","2008","D","1","D","1","D",5,"F",5,"F",5,"F",5,"F","1","D",.,"A"
"20101",1996845,21,0,1,"D","01","D","2008","D","1","D","1","D",80,"F",80,"F",80,"F",80,"F","2","D",.,"A"
"20101",1996955,22,0,1,"D","01","D","2005","D","1","D","1","D",24,"F",24,"F",24,"F",24,"F","1","D",.,"A"
"20101",1996955,23,0,2,"D","01","D","2009","D","1","D","1","D",73,"F",73,"F",73,"F",73,"F","1","D",.,"A"
"20101",1997025,39,0,2,"D","07","D","2008","D","1","F","1","D",67,"F",67,"F",67,"F",67,"F",,"C",67,"F"
"20101",1997115,21,0,1,"D","09","D","2007","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20101",1997225,23,0,1,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20101",1997285,22,0,1,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20101",1997395,31,0,1,"D","06","D","2008","D","2","D","1","D",27,"D",27,"D",27,"D",27,"D","1","D",.,"A"
"20101",1997665,32,0,1,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20101",1997795,61,0,5,"D","01","D","2005","D","1","D",,"A",0,"D",0,"D",0,"D",0,"D",,"A",.,"A"
"20101",1997875,84,0,6,"D","10","D","2008","D","2","D","1","D",36,"D",36,"D",36,"D",36,"D",,"C",.,"A"
"20101",1997935,29,0,1,"D","05","D","2007","D","1","D","1","D",26,"D",26,"D",26,"D",26,"D","1","D",.,"A"
"20101",1998135,32,0,2,"D","04","D","2009","D","2","D","1","D",0,"D",0,"D",0,"D",0,"D","1","D",.,"A"
"20101",1998565,35,0,1,"D","04","D","2009","D","2","D","1","D",35,"F",35,"F",35,"F",35,"F","1","D",.,"A"
"20101",1998625,29,0,1,"D","11","D","2005","D","1","D","1","D",80,"D",80,"D",80,"D",80,"D","2","D",100,"D"
"20101",1998625,30,0,2,"D","11","D","2005","D","1","D","1","D",85,"D",85,"D",85,"D",85,"D","2","D",50,"D"
"20101",1998685,26,0,1,"D","07","D","2008","D","1","F","1","D",31,"F",31,"F",57,"F",57,"F","2","D",57,"F"
"20101",1998685,27,0,2,"D","04","D","2009","D","2","F","1","D",42,"F",42,"F",42,"F",42,"F","2","D",.,"A"
"20101",1998685,28,0,3,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20101",1998725,22,0,1,"D","04","D","2008","D","1","D","1","D",31,"D",31,"D",31,"D",31,"D","1","D",.,"A"
"20101",1998765,22,0,1,"D","04","D","2008","D","1","D","1","D",49,"D",49,"D",49,"D",49,"D","1","D",.,"A"
"20101",1998815,29,0,2,"D","10","D","2008","D","2","D","1","D",52,"D",52,"D",52,"D",78,"D","2","D",78,"D"
"20101",1998845,29,0,3,"D","10","D","2008","D","2","F","1","D",0,"D",0,"D",0,"D",0,"D",,"C",.,"A"
"20101",1999365,40,0,1,"D","01","D","2009","D","1","D","1","D",9,"F",9,"F",9,"F",9,"F","1","D",.,"A"
"20101",1999385,38,0,3,"D","01","D","2010","D","1","F",,"A",48,"F",48,"F",.,"A",.,"A",,"A",.,"A"
"20101",1999465,25,0,1,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20101",1999715,62,0,1,"D","11","D","2007","D","1","D","1","D",32,"D",32,"D",32,"D",32,"D","1","D",.,"A"
"20101",1999715,63,0,2,"D","11","D","2007","D","1","D","1","D",32,"D",32,"D",32,"D",32,"D","1","D",.,"A"
"20101",1999795,33,0,1,"D","01","D","2010","D","2","D",,"A",.,"C",.,"A",.,"A",.,"A",,"A",.,"A"
"20101",1999795,34,0,2,"D","01","D","2010","D","2","D",,"A",.,"C",.,"A",.,"A",.,"A",,"A",.,"A"
"20101",2000225,719,0,1,"D","01","D","2010","D","2","F","2","D",.,"C",.,"A",.,"A",.,"A",,"A",.,"A"
"20101",2000225,720,0,2,"D","03","D","2010","D","2","F","2","D",.,"C",.,"A",.,"A",.,"A",,"A",.,"A"
"20101",2000305,32,0,2,"D","08","D","2009","D","2","D",,"A",0,"D",0,"D",0,"D",0,"D",,"A",.,"A"
"20101",2000325,21,0,1,"D",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A"
"20101",2000385,35,0,1,"D","01","D","2009","D","2","D","1","D",52,"D",52,"D",52,"D",74,"D","2","D",74,"D"
"20101",2000405,40,0,1,"D","01","D","2005","D","1","D","1","D",0,"D",0,"D",0,"D",0,"D","2","D",0,"D"
